jARA-SWT-01	10.12.3.2	TSP2446ABKN TSP2440AFNS
BAR-SWT-01	10.61.3.2	TSP2446ABMK TSP2443ACCU
BAU-SW-ACS-01	10.13.3.3	TSP2443ABZP TSP2440AFPG TSP2440AFMD
BAU-SW-CORE-01	10.13.3.2	TSP2443ABZD
BAU-SW-DSC	10.13.200.100	N/A
BHE-SW-ACS-01		10.8.3.2	TSP2443ACFD
BHE-SWT-02	10.8.3.3	TSP2417ABTL TSP2439ABMH TSP2440AFNU TSP2443ACCT
BHE-SWT-03	10.8.3.4	TSP2440AGSN
BOE-SWT-01	10.43.0.11	TSP2443ABZN TSP2443ABZG FJC244715KN FJC24451PHT
BOE-SWT-02	10.43.0.19	TSP2430ACKZ TSP2443ABZF FJC24451GWW FJC24501MGJ
BOE-SWT-ACS-03	10.43.0.18	FJC24451J2G FJC244715N8 FJC244711M7
BOE-SWT-DSC	10.43.18.250	FDO1903I0ND FDO1903I0Q9 FDO1903I0PN FDO1902I0FC
BOE-SWT-DVR	10.43.8.254	N/A
BRA-SWT-01	10.20.3.3	TSP2418AALC TSP2446ABMN
BRA-SWT-DSC-01	10.20.200.100	CN0DMD5F282987870128A07
BRA-SWT-DSC-02	10.20.200.101	CN0D559K282982AQ026
CAM-SWT-01	10.10.3.2	TSP2418AAHS TSP2446ABJK TSP2446ABMP TSP2405ACHG
CAM-SWT-06	10.10.200.201	CN0G62KT282986250288A01
CAM-SWT-MONIT	10.10.200.200	CN0G62KT282986250312A01
CAS-SWT-01	10.21.3.2	TSP2446ABLC TSP2439ABMG
CAX-SW-ACS-01	10.32.3.3	TSP2430ACKU
CAX-SWT-01	10.32.3.2	TSP2439ABLK TSP2443ABZT
CGE-SWT-01	10.41.3.2	TSP2446ABMZ TSP2440AGST
CGE-SWT-DSC	10.41.200.200	CN0D559K2829827A040
CON-DISTRIBUITION-01	10.70.26.1	N/A
CON-SW-4A-01	10.70.26.7	TSP2417ABTN
